top - 13:52:20 up 45 days, 21:51,  2 users,  load average: 0.26, 0.27, 0.27
Tasks: 779 total,   1 running, 674 sleeping,   1 stopped,   1 zombie
%Cpu(s):  2.4 us,  0.7 sy,  0.0 ni, 96.7 id,  0.0 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 32705352 total,  9926436 free, 17225348 used,  5553568 buff/cache
KiB Swap:  2097148 total,  1368572 free,   728576 used. 13096016 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   80 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/11:0H-k
   81 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/12
   82 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/12
   83 root      rt   0       0      0      0 S   0.0  0.0   0:14.34 migration/12
   84 root      20   0       0      0      0 S   0.0  0.0   0:02.70 ksoftirqd/12
   86 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/12:0H-k
   87 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/13
   88 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/13
   89 root      rt   0       0      0      0 S   0.0  0.0   0:14.64 migration/13
   90 root      20   0       0      0      0 S   0.0  0.0   0:02.78 ksoftirqd/13
   92 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/13:0H-k
   93 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/14
   94 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/14
   95 root      rt   0       0      0      0 S   0.0  0.0   0:14.81 migration/14
   96 root      20   0       0      0      0 S   0.0  0.0   0:02.96 ksoftirqd/14
   98 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/14:0H-k
   99 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/15
  100 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 idle_inject/15
  101 root      rt   0       0      0      0 S   0.0  0.0   0:14.70 migration/15
  102 root      20   0       0      0      0 S   0.0  0.0   0:02.63 ksoftirqd/15
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/15:0H-k
  105 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
  106 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
  107 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_kthre
  108 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
  109 root      20   0       0      0      0 S   0.0  0.0   0:18.10 khungtaskd
  110 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
  111 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
  112 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
  113 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
  114 root      39  19       0      0      0 S   0.0  0.0   0:41.29 khugepaged
  161 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
  162 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
  163 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 blkcg_punt_bio
  164 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 tpm_dev_wq
  165 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
  166 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
  167 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
  168 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
  169 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 watchdogd
  173 root      20   0       0      0      0 S   0.0  0.0   0:56.81 kswapd0
  174 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  176 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
  177 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/122-aerdrv
  178 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/122-pcie-dp
  179 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/123-aerdrv
  180 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/123-pcie-dp
  194 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_thermal_pm
  195 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 vfio-irqfd-clea
  196 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrconf
  205 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  208 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/u33:0
  224 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_manager
  293 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-wq
  294 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-reset-wq
  295 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nvme-delete-wq
  298 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  299 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
  300 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
  301 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
  302 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  303 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  304 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_3
  305 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_3
  306 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_4
  307 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_4
  308 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_5
  309 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_5
  316 root       0 -20       0      0      0 I   0.0  0.0   0:03.49 kworker/7:1H-kb
  340 root       0 -20       0      0      0 I   0.0  0.0   0:03.39 kworker/6:1H-kb
  342 root      20   0       0      0      0 S   0.0  0.0   2:20.56 jbd2/nvme0n1p2-
  343 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-conver
  395 root       0 -20       0      0      0 I   0.0  0.0   0:03.25 kworker/4:1H-kb
  405 root       0 -20       0      0      0 I   0.0  0.0   0:03.53 kworker/15:1H-k
  409 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop0
  429 root       0 -20       0      0      0 I   0.0  0.0   0:03.22 kworker/0:1H-kb
  430 root       0 -20       0      0      0 I   0.0  0.0   0:03.55 kworker/11:1H-k
  431 root       0 -20       0      0      0 I   0.0  0.0   0:05.42 kworker/8:1H-kb
  434 root       0 -20       0      0      0 S   0.0  0.0   0:00.03 loop1
  435 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop2
  436 root       0 -20       0      0      0 I   0.0  0.0   0:03.59 kworker/10:1H-k
  437 root       0 -20       0      0      0 I   0.0  0.0   0:03.62 kworker/9:1H-kb
  448 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop3
  452 root       0 -20       0      0      0 I   0.0  0.0   0:03.03 kworker/1:1H-kb
  455 root       0 -20       0      0      0 I   0.0  0.0   0:03.28 kworker/3:1H-kb
  481 root       0 -20       0      0      0 I   0.0  0.0   0:03.46 kworker/14:1H-k
  482 root       0 -20       0      0      0 I   0.0  0.0   0:03.06 kworker/2:1H-kb
  484 root       0 -20       0      0      0 I   0.0  0.0   0:03.19 kworker/5:1H-kb
  485 root       0 -20       0      0      0 I   0.0  0.0   0:03.54 kworker/13:1H-k
  489 root       0 -20       0      0      0 S   0.0  0.0   0:00.08 loop4
  490 root     -51   0       0      0      0 S   0.0  0.0   0:00.00 irq/143-mei_me
  501 root       0 -20       0      0      0 S   0.0  0.0   0:00.02 loop5
